melanoma_of_the_skin_2010_to_2014_sr, lung_cancer_2010_to_2014_asr_per_100000, colorectal_cancer_2010_to_2014_number, lga_name, lga_code, melanoma_of_the_skin_2010_to_2014_asr_per_100000, lung_cancer_2010_to_2014_number, colorectal_cancer_2010_to_2014_sr, melanoma_of_the_skin_2010_to_2014_number, lymphoma_2010_to_2014_sr, lymphoma_2010_to_2014_number, lung_cancer_2010_to_2014_sr, colorectal_cancer_2010_to_2014_asr_per_100000, lymphoma_2010_to_2014_asr_per_100000
83.0,40.96478,53.10407,"Alpine (S)",20110,45.11338,36.99999,92.0,36.99999,107.0,21.0,84.0,60.45025,25.47347
89.0,49.10033,62.70539,"Ararat (RC)",20260,47.93013,39.16257,122.0,34.92467,79.0,13.88,101.0,80.47811,18.89215
103.0,46.22435,353.3206,"Ballarat (C)",20570,55.51388,238.3149,105.0,276.3837,112.0,134.7074,95.0,68.92624,26.75055
81.0,37.89237,395.0,"Banyule (C)",20660,43.80168,260.0,88.0,292.0,117.0,186.0,78.0,57.73539,27.8429
84.0,47.30894,152.806,"Bass Coast (S)",20740,45.67114,114.1385,100.0,97.13847,109.0,56.13847,97.0,65.52551,26.02179
86.0,35.71931,159.996,"Baw Baw (S)",20830,46.68709,93.64623,94.0,116.1466,94.0,56.04639,74.0,62.1245,22.39719
106.0,32.55908,354.0,"Bayside (C)",20910,57.37423,196.0,89.0,328.0,122.0,167.0,67.0,58.86677,29.22624
113.0,50.59252,62.84483,"Benalla (RC)",21010,61.12079,52.73535,94.0,56.84182,84.0,18.94827,104.0,61.77342,20.08122
74.0,32.5078,538.0,"Boroondara (C)",21110,40.26229,289.0,91.0,353.0,99.0,209.0,67.0,60.06485,23.739
33.0,53.33287,498.0,"Brimbank (C)",21180,17.73116,446.0,90.0,156.0,97.0,202.0,110.0,59.13736,23.05442
105.0,60.47606,47.9739,"Buloke (S)",21270,56.57204,31.99999,141.0,25.99999,null,null,124.0,92.92231,null
