dth_lung_canc_0_74_yrs_2011_15_sdr, dth_cereb_dise_0_74_yrs_2011_15_num, dth_lung_canc_0_74_yrs_2011_15_avg_yr_asr_100k, dth_canc_0_74_yrs_2011_15_avg_yr_asr_100k, dth_brst_canc_f_0_74_yrs_2011_15_avg_yr_asr_100k, dth_cereb_dise_0_74_yrs_2011_15_sdr, dth_canc_0_74_yrs_2011_15_num, dth_copd_0_74_yrs_2011_15_num, dth_isch_hrt_dise_0_74_yrs_2011_15_num, dth_colortl_canc_0_74_yrs_2011_15_sdr, dth_copd_0_74_yrs_2011_15_avg_yr_asr_100k, dth_diab_0_74_yrs_2011_15_avg_yr_asr_100k, lga_name, dth_brst_canc_f_0_74_yrs_2011_15_num, dth_colortl_canc_0_74_yrs_2011_15_num, dth_resp_sys_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_colortl_canc_0_74_yrs_2011_15_avg_yr_asr_100k, dth_resp_sys_dise_0_74_yrs_2011_15_sdr, dth_resp_sys_dise_0_74_yrs_2011_15_num, dth_circ_sys_dise_0_74_yrs_2011_15_num, dth_diab_0_74_yrs_2011_15_num, dth_isch_hrt_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_isch_hrt_dise_0_74_yrs_2011_15_sdr, dth_circ_sys_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_lung_canc_0_74_yrs_2011_15_num, dth_cereb_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_brst_canc_f_0_74_yrs_2011_15_sdr, lga_code, dth_copd_0_74_yrs_2011_15_sdr, dth_circ_sys_dise_0_74_yrs_2011_15_sdr, dth_diab_0_74_yrs_2011_15_sdr, dth_canc_0_74_yrs_2011_15_sdr
78,null,16.455,97.299,null,null,79,7,18,109,7.992,null,"Alpine (S)",null,8,16.533,9.752,110,14,29,null,22.79,97,36.267,14,null,null,"20110",91,81,null,97
84,6,17.637,99.025,23.061,108,68,5,22,132,7.046,13.075,"Ararat (RC)",7,8,14.346,11.855,95,10,43,9,32.308,137,63.426,12,8.722,143,"20260",80,142,216,98
103,46,21.593,109.422,18.223,120,513,69,95,126,14.393,4.845,"Ballarat (C)",43,53,22.184,11.27,148,105,207,23,20.239,86,44.161,102,9.692,113,"20570",163,99,80,109
66,49,13.831,86.332,19.162,99,528,35,105,99,5.654,4.403,"Banyule (C)",60,54,10.236,8.834,68,63,217,27,17.17,73,35.506,85,7.996,119,"20660",64,79,73,86
117,13,24.54,109.576,17.597,76,230,18,53,80,7.908,7.046,"Bass Coast (S)",17,15,10.04,7.194,67,22,92,15,25.382,108,44.293,53,6.142,109,"20740",90,99,117,109
84,18,17.651,93.501,20.993,87,238,21,48,57,7.898,4.682,"Baw Baw (S)",26,13,10.365,5.089,69,27,89,12,18.813,80,35.018,46,6.999,130,"20830",90,78,77,93
62,29,13.063,75.703,12.359,70,391,24,57,85,4.617,3.298,"Bayside (C)",33,39,6.797,7.572,45,35,117,17,11.004,47,22.721,68,5.617,77,"20910",52,51,55,75
160,10,33.485,129.763,19.195,142,113,9,21,77,9.863,11.441,"Benalla (RC)",8,6,12.413,6.913,83,11,45,10,24.163,103,52.297,30,11.487,119,"21010",112,117,189,129
56,41,11.65,70.123,12.489,65,549,20,78,69,2.584,1.793,"Boroondara (C)",51,48,4.258,6.131,28,33,163,14,9.952,42,20.832,91,5.253,77,"21110",29,47,30,70
92,75,19.367,90.597,12.432,109,782,43,193,105,5.09,7.693,"Brimbank (C)",54,81,10.564,9.367,70,90,405,66,22.399,95,46.99,166,8.762,77,"21180",58,105,127,90
212,null,44.451,149.87,null,null,59,7,6,171,16.704,null,"Buloke (S)",null,6,22.192,15.329,148,9,17,null,15.222,65,43.372,18,null,null,"21270",189,97,null,149
92,18,19.367,107.356,19.779,101,232,27,61,88,11.752,8.609,"Campaspe (S)",20,17,20.53,7.84,137,46,118,19,28.063,119,54.926,43,8.148,123,"21370",133,123,142,107
107,21,22.512,103.565,18.797,76,354,25,65,81,7.569,3.525,"Cardinia (S)",33,25,16.016,7.268,107,54,125,12,18.898,80,36.354,76,6.158,117,"21450",86,81,58,103
96,98,20.145,93.863,17.474,119,969,69,203,121,7.189,4.926,"Casey (C)",95,112,12.865,10.815,86,128,449,50,19.625,83,43.263,202,9.604,108,"21610",81,97,81,93
233,7,48.783,152.726,29.206,95,136,12,36,150,12.087,12.037,"Central Goldfields (S)",12,12,18.869,13.429,126,18,59,11,40.774,173,66.574,45,7.65,181,"21670",137,149,199,152
116,16,24.297,112.603,17.631,164,136,14,31,102,11.112,null,"Colac-Otway (S)",10,11,21.95,9.147,146,27,79,null,25.707,109,65.909,30,13.213,109,"21750",126,147,null,112
90,10,18.921,108.627,32.318,131,101,8,33,109,8.174,5.343,"Corangamite (S)",14,9,18.846,9.735,125,18,55,5,35.42,151,59.285,18,10.559,200,"21830",93,132,88,108
83,56,17.321,100.745,17.4,116,592,43,162,106,7.378,5.056,"Darebin (C)",53,56,13.673,9.479,91,81,309,30,27.424,117,51.713,100,9.358,108,"21890",84,116,84,100
119,25,24.88,115.261,15.1,98,356,27,78,134,7.963,5.052,"East Gippsland (S)",21,37,12.608,12.022,84,41,146,16,25.24,107,47.493,80,7.951,94,"22110",90,106,84,115
110,45,23.004,104.038,18.475,90,648,84,153,135,13.568,6.272,"Frankston (C)",59,75,18.855,12.037,126,117,302,39,24.538,104,48.453,143,7.229,115,"22170",154,108,104,103
106,8,22.286,96.712,null,139,67,7,14,97,9.206,null,"Gannawarra (S)",null,6,12.324,8.722,82,9,29,null,20.197,86,41.94,16,11.255,null,"22250",104,94,null,96
64,37,13.374,94.179,16.624,153,282,37,73,102,12.29,9.056,"Greater Shepparton (C)",24,27,16.026,9.086,107,48,163,27,24.469,104,54.335,40,12.379,103,"22830",139,121,150,94
99,11,20.664,112.553,null,143,112,11,21,150,11.021,8.262,"Hepburn (S)",null,13,14.167,13.396,94,14,44,8,21.682,92,44.623,21,11.52,null,"22910",125,100,137,112
106,null,22.272,123.584,null,null,44,null,11,180,null,null,"Hindmarsh (S)",null,6,20.047,16.116,133,7,22,null,31.995,136,62.108,8,null,null,"22980",null,139,null,123
113,40,23.774,105.632,16.613,124,417,39,94,121,10.237,4.794,"Hobsons Bay (C)",34,43,16.276,10.827,108,63,195,19,23.691,101,49.277,93,10.051,103,"23110",116,110,79,105
75,17,15.656,106.869,12.155,207,108,8,28,111,7.71,8.87,"Horsham (RC)",6,10,12.699,9.927,85,13,57,9,27.682,118,56.478,16,16.71,75,"23190",87,126,147,106
110,57,23.052,101.22,16.613,101,722,64,193,114,9.538,6.182,"Hume (C)",61,73,19.111,10.23,127,133,352,44,27.112,115,49.156,161,8.135,103,"23270",108,110,102,101
108,7,22.676,108.215,17.702,92,103,11,19,71,11.357,null,"Indigo (S)",8,6,17.912,6.32,119,17,41,null,19.986,85,43.618,22,7.406,110,"23350",129,97,null,108
104,65,21.76,98.481,20.129,109,723,39,132,111,5.255,3.388,"Kingston (C) (Vic.)",75,73,9.734,9.942,65,72,286,25,17.924,76,38.796,160,8.778,125,"23430",60,87,56,98
92,64,19.276,90.333,15.107,107,676,53,143,105,7.221,4.579,"Knox (C)",58,70,13.06,9.354,87,96,281,34,19.098,81,37.69,144,8.63,94,"23670",82,84,76,90
125,46,26.133,106.849,11.487,149,409,60,136,103,15.342,11.462,"Latrobe (C) (Vic.)",21,35,23.043,9.194,153,89,250,44,35.611,151,65.673,101,12.023,71,"23810",174,147,190,106
159,null,33.312,105.448,null,null,56,11,16,134,19.957,11.441,"Loddon (S)",null,6,28.478,11.952,190,15,31,6,30.456,129,58.61,18,null,null,"23940",226,131,189,105
