admis_bld_bld_frm_orgs_dise_p_all_hosps_2014_15_num, admis_skin_subcutan_tis_dise_p_all_hosps_2014_15_asr_100000, admis_all_cancs_p_all_hosps_2014_15_num, admis_resp_sys_dise_p_all_hosps_2014_15_num, admis_endo_meta_dise_p_all_hosps_2014_15_asr_100000, admis_genit_sys_dise_p_all_hosps_2014_15_num, admis_digst_sys_dise_p_all_hosps_2014_15_asr_100000, admis_mental_hlth_rltd_cond_p_all_hosps_2014_15_num, admis_skin_subcutan_tis_dise_p_all_hosps_2014_15_num, admis_bld_bld_frm_orgs_dise_p_all_hosps_2014_15_asr_100000, admis_infec_parasit_dise_p_all_hosps_2014_15_asr_100000, admis_eye_adnexa_dise_p_all_hosps_2014_15_asr_100000, admis_circ_sys_dise_p_all_hosps_2014_15_asr_100000, lga_name, admis_endo_meta_dise_p_all_hosps_2014_15_sr, admis_ear_mastoid_prcs_dise_p_all_hosps_2014_15_num, admis_circ_sys_dise_p_all_hosps_2014_15_num, admis_nerv_sys_dise_p_all_hosps_2014_15_asr_100000, admis_musco_sys_conn_tis_dise_p_all_hosps_2014_15_num, admis_nerv_sys_dise_p_all_hosps_2014_15_num, admis_musco_sys_conn_tis_dise_p_all_hosps_2014_15_asr_100000, admis_resp_sys_dise_p_all_hosps_2014_15_asr_100000, admis_ear_mastoid_prcs_dise_p_all_hosps_2014_15_sr, admis_congen_defrm_chrmo_abnrm_p_all_hosps_2014_15_num, admis_infec_parasit_dise_p_all_hosps_2014_15_sr, admis_congen_defrm_chrmo_abnrm_p_all_hosps_2014_15_sr, admis_eye_adnexa_dise_p_all_hosps_2014_15_sr, admis_genit_sys_dise_p_all_hosps_2014_15_asr_100000, admis_mental_hlth_rltd_cond_p_all_hosps_2014_15_asr_100000, admis_mental_hlth_rltd_cond_p_all_hosps_2014_15_sr, admis_eye_adnexa_dise_p_all_hosps_2014_15_num, admis_bld_bld_frm_orgs_dise_p_all_hosps_2014_15_sr, admis_infec_parasit_dise_p_all_hosps_2014_15_num, admis_circ_sys_dise_p_all_hosps_2014_15_sr, admis_musco_sys_conn_tis_dise_p_all_hosps_2014_15_sr, admis_skin_subcutan_tis_dise_p_all_hosps_2014_15_sr, admis_nerv_sys_dise_p_all_hosps_2014_15_sr, admis_congen_defrm_chrmo_abnrm_p_all_hosps_2014_15_asr_100000, lga_code, admis_ear_mastoid_prcs_dise_p_all_hosps_2014_15_asr_100000, admis_all_cancs_p_all_hosps_2014_15_sr, admis_genit_sys_dise_p_all_hosps_2014_15_sr, admis_resp_sys_dise_p_all_hosps_2014_15_sr, admis_all_cancs_p_all_hosps_2014_15_asr_100000, admis_digst_sys_dise_p_all_hosps_2014_15_sr, admis_endo_meta_dise_p_all_hosps_2014_15_num, admis_digst_sys_dise_p_all_hosps_2014_15_num
null,null,172,152,1112.0,94,3748.6,null,null,null,null,1506.4,2139.7,"West Wimmera (S)",158,null,143,1426.2,160,74,2914.5,2820.3,null,null,null,null,88,1836.5,null,null,105,null,null,98,122,null,115,null,"26890",null,97,87,144,2771.4,83,59,190
113,738.1,480,284,612.0,210,4538.7,79,101,731.0,null,1185.3,2160.0,"Alpine (S)",87,23,364,908.8,405,129,2699.5,2052.5,66,null,null,null,69,1511.1,644.2,36,206,101,null,98,113,100,74,null,"20110",187.7,103,72,105,2943.8,101,88,631
127,707.7,369,218,811.1,275,4419.9,113,90,897.3,488.1,977.9,1951.8,"Ararat (RC)",116,27,300,1380.7,422,181,3056.5,1684.9,79,null,73,null,57,2135.8,970.3,55,154,124,61,89,128,96,112,null,"20260",226.4,86,101,86,2478.2,98,107,570
781,605.9,3098,1859,841.3,2281,4804.9,885,590,791.0,668.4,1262.9,2187.2,"Ballarat (C)",120,355,2202,1952.9,2893,1879,2991.5,1873.8,128,183,99,109,74,2379.7,937.5,53,1288,110,656,100,125,82,158,188.1,"20570",365.2,109,113,96,3138.0,106,813,4637
1163,556.5,3912,1880,599.5,2592,5066.0,1689,712,880.7,504.7,1285.8,1790.2,"Banyule (C)",85,297,2431,1414.1,2919,1807,2253.8,1459.6,84,172,75,83,75,2019.9,1345.1,76,1766,122,647,82,94,76,115,143.8,"20660",241.3,103,96,74,2943.2,112,772,6454
288,785.8,1431,625,503.5,749,5134.6,441,276,712.9,500.7,1412.5,2045.1,"Bass Coast (S)",72,97,910,1246.9,910,450,2372.6,1712.5,105,41,74,86,82,2116.9,1426.7,81,660,99,176,93,99,107,101,148.7,"20740",300.6,117,100,87,3360.0,114,184,1815
246,726.2,1481,859,550.6,925,3567.2,626,330,516.6,495.1,2020.2,1944.2,"Baw Baw (S)",78,128,959,1354.6,1340,626,2839.5,1850.4,98,80,74,105,118,2045.3,1460.7,82,1012,72,225,89,119,99,110,180.5,"20830",280.3,106,97,94,3025.8,79,254,1632
1036,719.9,4268,1822,874.6,2334,5355.4,2140,747,924.3,785.9,1311.0,1966.9,"Bayside (C)",125,308,2334,1506.5,3221,1586,2999.8,1708.0,107,170,117,107,76,2240.9,2207.7,125,1580,128,813,90,125,98,122,184.1,"20910",305.3,131,106,87,3758.3,119,930,5525
null,1377.8,778,322,1334.1,323,5003.6,156,219,null,811.5,1001.0,2171.3,"Benalla (RC)",190,null,428,1192.0,531,192,3128.1,1960.1,null,null,121,null,58,2041.4,1111.3,63,205,null,128,99,131,187,97,null,"21010",null,145,97,100,4167.5,111,219,794
1291,530.5,5338,2244,555.4,3258,4928.7,3823,911,740.4,478.2,1835.0,1630.8,"Boroondara (C)",79,380,2907,1387.8,3853,2333,2249.6,1337.8,85,217,71,85,107,1908.1,2243.3,127,3280,103,805,74,94,72,112,146.1,"21110",242.5,107,91,68,3076.4,109,953,8418
1531,647.4,4057,3053,654.6,3814,4851.7,2238,1183,885.0,802.1,1445.0,2217.1,"Brimbank (C)",93,389,3670,1220.0,3362,2212,1875.0,1719.4,74,267,119,81,84,2089.2,1171.8,66,2338,123,1454,101,78,88,99,139.9,"21180",211.6,83,99,88,2367.6,108,1181,8924
101,628.0,269,197,1126.2,133,4808.1,85,48,1137.4,null,1528.3,2484.5,"Buloke (S)",160,22,247,1352.3,226,105,2736.6,2453.4,109,null,null,null,89,1741.6,1301.5,73,160,158,null,113,114,85,110,null,"21270",312.9,101,83,125,2884.6,107,90,366
471,1006.9,1587,797,1026.7,940,5294.2,402,406,1069.6,623.2,1493.1,2268.9,"Campaspe (S)",146,131,1064,1550.3,1204,635,2844.3,1914.4,117,64,93,103,87,2341.1,1094.5,62,723,148,251,103,119,137,126,177.4,"21370",334.3,122,111,98,3499.5,117,424,2136
577,1056.4,2096,1982,1146.9,2102,5801.7,1783,739,883.0,1034.7,1510.1,2529.5,"Cardinia (S)",163,354,1545,1872.1,2392,1322,3545.0,2773.8,155,176,154,118,88,3031.5,2479.5,140,895,122,737,115,148,144,152,204.1,"21450",442.1,114,144,141,3277.5,129,789,4058
