lung_canc_2006_2010_num, lymphoma_2006_2010_num, colortl_canc_2006_2010_sr, colortl_canc_2006_2010_asr_100000, lung_canc_2006_2010_asr_100000, colortl_canc_2006_2010_num, lymphoma_2006_2010_asr_100000, lga_code, lung_canc_2006_2010_sr, melanoma_skin_2006_2010_asr_100000, melanoma_skin_2006_2010_num, melanoma_skin_2006_2010_sr, lymphoma_2006_2010_sr
49,20,83,56.3,57.6,47,25.1,"20110",121,45.9,35,89,111
36,16,141,95.0,46.6,72,21.9,"20260",98,42.3,30,82,97
219,113,97,65.8,45.4,315,24.0,"20570",95,55.0,254,107,106
274,193,94,63.6,40.8,426,29.5,"20660",85,43.1,280,84,131
122,41,110,74.2,54.7,161,20.9,"20740",115,54.4,104,106,93
90,48,90,60.7,39.9,136,22.0,"20830",84,48.6,105,95,97
227,155,99,66.6,39.0,388,28.1,"20910",82,67.6,369,131,124
66,20,102,68.9,66.9,67,22.3,"21010",140,66.1,58,129,99
287,225,96,64.5,33.0,565,26.1,"21110",69,51.5,439,100,116
371,163,95,64.5,48.6,496,20.2,"21180",102,16.9,138,33,89
31,null,129,87.0,57.4,46,null,"21270",120,58.4,27,114,null
107,42,118,79.6,46.0,182,19.3,"21370",96,62.6,133,122,85
131,70,96,64.8,51.3,167,25.5,"21450",108,48.6,135,94,113
386,227,96,65.2,48.1,536,24.9,"21610",101,34.9,326,68,110
71,19,91,61.2,70.0,60,21.2,"21670",147,42.0,36,82,94
61,31,120,80.9,46.4,105,25.2,"21750",97,40.5,49,79,112
40,37,134,90.4,37.5,95,37.2,"21830",79,54.6,53,106,165
379,173,100,67.7,51.9,491,24.3,"21890",109,24.2,171,47,107
177,60,117,79.0,56.7,240,21.4,"22110",119,52.5,144,102,95
340,135,95,63.9,55.5,392,21.9,"22170",116,49.3,304,96,97
44,24,139,93.6,52.3,77,32.0,"22250",110,50.7,37,99,142
138,67,116,78.6,44.8,242,22.2,"22830",94,50.0,151,97,98
35,null,81,54.9,37.5,50,null,"22910",79,56.1,49,109,null
26,null,130,87.5,54.0,41,null,"22980",113,45.3,19,88,null
235,101,112,75.5,54.9,322,23.7,"23110",115,34.7,149,68,105
48,25,103,69.5,41.2,80,22.8,"23190",86,43.7,47,85,101
290,152,103,69.6,52.5,393,24.3,"23270",110,27.6,176,54,108
52,null,126,85.1,58.8,75,null,"23350",123,46.4,40,90,null
364,158,97,65.2,44.8,527,20.2,"23430",94,42.0,328,82,89
278,146,90,61.1,40.6,424,20.4,"23670",85,41.1,298,80,90
239,114,116,78.2,62.5,298,30.5,"23810",131,36.2,135,70,135
30,null,114,77.2,49.2,46,null,"23940",103,48.1,25,94,null
84,53,101,68.5,43.4,134,26.6,"24130",91,54.2,110,105,118
244,162,91,61.2,34.2,431,24.0,"24210",72,42.6,284,83,106
16,null,87,58.9,34.2,28,null,"24250",72,64.0,29,124,null
154,48,87,59.0,52.8,174,15.5,"24330",111,23.7,74,46,69
245,130,95,63.9,44.9,348,24.1,"24410",94,45.2,242,88,107
120,81,80,54.1,50.6,134,26.4,"24600",106,40.7,124,79,117
