dths_cerb_0_74_2_rate_1_03_12_07, dths_colo_0_74_1_no_1_03_12_07, dths_resp_0_74_1_no_1_03_12_07, dths_lung_0_74_1_no_1_03_12_07, dths_cop_45_74_2_rate_1_03_12_07, area_code, dths_cir_0_74_1_no_1_03_12_07, dths_cir_15_64_1_no_1_03_12_07, dths_lung_0_74_2_rate_1_03_12_07, dths_isch_0_74_1_no_1_03_12_07, dths_canc_0_74_1_no_1_03_12_07, dths_cir_0_74_2_rate_1_03_12_07, dths_canc_0_74_2_rate_1_03_12_07, dths_isch_0_74_2_rate_1_03_12_07, dths_res_15_64_1_no_1_03_12_07, dths_cop_45_74_1_no_1_03_12_07, dths_can_15_64_2_rate_1_03_12_07, dths_can_15_64_1_no_1_03_12_07, area_name, dths_res_15_64_2_rate_1_03_12_07, dths_colo_0_74_2_rate_1_03_12_07, dths_resp_0_74_2_rate_1_03_12_07, dths_cir_15_64_2_rate_1_03_12_07, dths_cerb_0_74_1_no_1_03_12_07
null,6.0,10.0,15.0,32.5,20110,36.0,15.0,18.6,27.0,85.0,45.5,107.9,33.9,6.0,9.0,78.6,41.0,"Alpine (S)",11.5,7.5,12.5,29.1,null
9.8,12.0,18.0,16.0,52.2,20260,40.0,22.0,22.1,24.0,82.0,56.4,116.2,33.6,7.0,13.0,87.4,41.0,"Ararat (RC)",14.8,16.8,24.9,47.6,7.0
12.4,46.0,75.0,82.0,35.5,20570,270.0,117.0,20.2,163.0,434.0,66.1,107.2,40.0,28.0,49.0,79.6,220.0,"Ballarat (C)",10.1,11.3,18.2,42.4,51.0
7.1,55.0,79.0,110.0,24.8,20660,229.0,105.0,18.7,124.0,578.0,39.0,98.7,21.1,26.0,49.0,73.3,305.0,"Banyule (C)",6.2,9.4,13.4,25.3,42.0
7.6,26.0,26.0,50.0,21.1,20740,91.0,40.0,25.1,47.0,217.0,46.7,113.4,24.0,9.0,15.0,64.3,73.0,"Bass Coast (S)",7.8,13.4,12.8,35.9,15.0
8.7,25.0,23.0,43.0,24.2,20830,107.0,52.0,21.7,60.0,210.0,54.8,107.3,30.6,6.0,16.0,84.5,116.0,"Baw Baw (S)",4.4,12.7,11.7,38.2,17.0
7.0,46.0,29.0,69.0,9.2,20910,161.0,68.0,15.1,99.0,416.0,35.3,91.1,21.6,null,14.0,64.2,214.0,"Bayside (C)",null,10.1,6.4,20.5,32.0
9.7,9.0,16.0,18.0,35.2,21010,50.0,24.0,21.8,32.0,86.0,61.4,106.4,39.1,null,10.0,84.6,45.0,"Benalla (RC)",null,11.0,19.3,45.7,8.0
5.9,79.0,51.0,95.0,8.8,21110,235.0,101.0,13.2,130.0,632.0,32.5,87.1,17.9,13.0,21.0,63.0,339.0,"Boroondara (C)",2.4,10.9,7.1,18.8,43.0
11.3,80.0,84.0,207.0,17.3,21180,404.0,197.0,27.7,233.0,825.0,53.8,109.0,31.1,37.0,42.0,76.0,437.0,"Brimbank (C)",6.5,10.6,11.3,34.2,84.0
